month;value
01.2014;5,5
02.2014;5,5
03.2014;7,0
04.2014;7,0
05.2014;7,5
06.2014;7,5
07.2014;7,5
08.2014;8,0
09.2014;8,0
10.2014;8,0
11.2014;9,5
12.2014;9,5
01.2015;17,0
02.2015;15,0
03.2015;15,0
04.2015;14,0
05.2015;14,0
06.2015;12,5
07.2015;11,5
08.2015;11,0
09.2015;11,0
10.2015;11,0
11.2015;11,0
12.2015;11,0
01.2016;11,0
02.2016;11,0
03.2016;11,0
04.2016;11,0
05.2016;11,0
06.2016;11,0
07.2016;10,5
08.2016;10,5
09.2016;10,5
10.2016;10,0
11.2016;10,0
12.2016;10,0
01.2017;10,0
02.2017;10,0
03.2017;10,0
04.2017;9,75
05.2017;9,25
06.2017;9,25
07.2017;9,0
08.2017;9,0
09.2017;9,0
10.2017;8,5
11.2017;8,25
12.2017;8,25
01.2018;7,75
02.2018;7,75
03.2018;7,5
04.2018;7,25
05.2018;7,25
06.2018;7,25
07.2018;7,25
08.2018;7,25
09.2018;7,25
10.2018;7,5
11.2018;7,5
12.2018;7,5
01.2019;7,75
02.2019;7,75
03.2019;7,75
04.2019;7,75
05.2019;7,75
06.2019;7,75
07.2019;7,5
08.2019;7,25
09.2019;7,25
10.2019;7,0
11.2019;6,5
12.2019;6,5
01.2020;6,25
02.2020;6,25
03.2020;6,0
04.2020;6,0
05.2020;5,5
06.2020;5,5
07.2020;4,5
08.2020;4,25
09.2020;4,25
10.2020;4,25
11.2020;4,25
12.2020;4,25
01.2021;4,25
02.2021;4,25
03.2021;4,25
04.2021;4,5
05.2021;5,0
06.2021;5,0
07.2021;5,5
08.2021;6,5
09.2021;6,5
10.2021;6,75
11.2021;7,5
12.2021;7,5
01.2022;8,5
02.2022;8,5
03.2022;20,0
04.2022;20,0
05.2022;14,0
06.2022;11,0
07.2022;9,5
08.2022;8,0
09.2022;8,0
10.2022;7,5
11.2022;7,5
12.2022;7,5
01.2023;7,5
02.2023;7,5
03.2023;7,5
04.2023;7,5
05.2023;7,5
06.2023;7,5
07.2023;7,5
08.2023;8,5
09.2023;12,0
10.2023;13,0
11.2023;15,0
12.2023;15,0
01.2024;16,0
02.2024;16,0
03.2024;16,0
04.2024;16,0
05.2024;16,0
06.2024;16,0
07.2024;16,0
08.2024;18,0
09.2024;18,0
10.2024;19,0
11.2024;21,0
12.2024;21,0
01.2025;21,0
02.2025;21,0
03.2025;21,0
04.2025;21,0
05.2025;21,0
06.2025;21,0
07.2025;20,0
08.2025;18,0
09.2025;18,0
10.2025;17,0
11.2025;16,5
12.2025;16,5
